2023-10-28 04:40:35: [200088][tdfghuu][2|8041|3190]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 05:16:11: [200086][<color=#0486dc>[GM]</color> OangDiE][6|2232|2530]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :4999600| ĐỒNG KHÓA :0
2023-10-28 05:42:48: [200091][<color=#0486dc>[GM]</color> Luuuuuuu][8|4790|3830]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 06:05:06: [200090][<color=#0486dc>[GM]</color> OhDzeDze][5|5179|3232]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :4999600| ĐỒNG KHÓA :0
2023-10-28 06:05:08: [200092][<color=#0486dc>[GM]</color> Alooaloo][5|5202|3414]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 07:26:55: [200093][<color=#0486dc>[GM]</color> OiMaOi][5|5225|3226]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :4999600| ĐỒNG KHÓA :0
2023-10-28 07:27:51: [200094][<color=#0486dc>[GM]</color> QuanTcaB][5|5090|3270]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :4999600| ĐỒNG KHÓA :0
2023-10-28 07:48:35: [200097][<color=#0486dc>[GM]</color> ThieuLan][5|4917|3254]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :14912800| ĐỒNG KHÓA :0
2023-10-28 07:56:45: [200097][<color=#0486dc>[GM]</color> ThieuLan][5|4917|3254]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :14912800| ĐỒNG KHÓA :0
2023-10-28 07:58:49: [200098][<color=#0486dc>[GM]</color> ThienDzuong][5|5298|3311]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :14912800| ĐỒNG KHÓA :0
2023-10-28 08:02:21: [200097][<color=#0486dc>[GM]</color> ThieuLan][5|4917|3254]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :14912800| ĐỒNG KHÓA :0
2023-10-28 08:39:08: [200099][<color=#0486dc>[GM]</color> TVVVVVVV][5|5202|3414]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :14912800| ĐỒNG KHÓA :0
2023-10-28 08:45:42: [200101][<color=#0486dc>[GM]</color> ThienVuong][5|5239|3287]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 09:15:42: [200102][<color=#0486dc>[GM]</color> ThienVuongNu][255|1626|1811]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5000000| ĐỒNG  :4838800| ĐỒNG KHÓA :5000000
2023-10-28 09:35:15: [200101][<color=#0486dc>[GM]</color> ThienVuong][255|1632|1832]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5000000| ĐỒNG  :9707400| ĐỒNG KHÓA :5000000
2023-10-28 13:12:30: [200096][<color=#0486dc>[GM]</color> MaOiMaMa][255|1830|1836]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5000000| ĐỒNG  :4939800| ĐỒNG KHÓA :5000000
2023-10-28 13:13:49: [200104][<color=#0486dc>[GM]</color> MatMatMat][5|5256|3321]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :100000| BẠC KHÓA :0| ĐỒNG  :4939800| ĐỒNG KHÓA :0
2023-10-28 13:24:25: [200105][<color=#0486dc>[GM]</color> AnhEMM][5|5304|3349]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 13:26:40: [200105][<color=#0486dc>[GM]</color> AnhEMM][5|5299|3313]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 13:35:45: [200103][<color=#0486dc>[GM]</color> 222222222222][5|5140|3375]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :2400| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 13:37:29: [200103][<color=#0486dc>[GM]</color> 222222222222][5|5174|3380]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :2400| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 13:50:00: [200105][<color=#0486dc>[GM]</color> AnhEMM][23|5496|5726]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :4580000| BẠC KHÓA :5100000| ĐỒNG  :4999600| ĐỒNG KHÓA :5000000
2023-10-28 14:00:50: [200105][<color=#0486dc>[GM]</color> AnhEMM][23|5422|5565]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :4580000| BẠC KHÓA :5120000| ĐỒNG  :4999600| ĐỒNG KHÓA :5000000
2023-10-28 14:08:30: [200106][<color=#0486dc>[GM]</color> 111111111111][1|3276|3189]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5100000| ĐỒNG  :4949600| ĐỒNG KHÓA :5000000
2023-10-28 14:24:02: [200107][<color=#0486dc>[GM]</color> 333333333333][5|5171|3390]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :4949600| ĐỒNG KHÓA :0
2023-10-28 14:26:11: [200108][<color=#0486dc>[GM]</color> 444444444444][5|5198|3417]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :4949600| ĐỒNG KHÓA :0
2023-10-28 14:27:35: [200107][<color=#0486dc>[GM]</color> 333333333333][5|5171|3390]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :4949600| ĐỒNG KHÓA :0
2023-10-28 14:31:01: [200109][<color=#0486dc>[GM]</color> 555555555][5|5189|3430]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 14:34:40: [200110][<color=#0486dc>[GM]</color> 666666666][5|5211|3408]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 14:36:24: [200109][<color=#0486dc>[GM]</color> 555555555][5|5189|3430]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 14:39:25: [200111][<color=#0486dc>[GM]</color> 777777777][5|5193|3393]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 14:52:03: [200112][<color=#0486dc>[GM]</color> 888888888][5|5189|3410]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 14:53:48: [200097][<color=#0486dc>[GM]</color> ThieuLan][5|5283|3306]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :15111000| ĐỒNG KHÓA :200000
2023-10-28 14:56:19: [200114][<color=#0486dc>[GM]</color> dfkhiq212][5|5230|3338]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :14999400| ĐỒNG KHÓA :0
2023-10-28 15:42:34: [200116][<color=#0486dc>[GM]</color> fghsdrgd][23|6754|3590]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5101100| ĐỒNG  :14999000| ĐỒNG KHÓA :5000000
2023-10-28 15:53:56: [200114][<color=#0486dc>[GM]</color> dfkhiq212][5|5451|3431]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :14999000| ĐỒNG KHÓA :0
2023-10-28 15:55:58: [200113][<color=#0486dc>[GM]</color> 999999999][3|4297|3689]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5100000| ĐỒNG  :4998500| ĐỒNG KHÓA :5000000
2023-10-28 17:01:41: [200097][<color=#0486dc>[GM]</color> ThieuLan][5|5283|3306]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :15111000| ĐỒNG KHÓA :200000
2023-10-28 17:28:59: [200114][<color=#0486dc>[GM]</color> dfkhiq212][255|1705|1932]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :14978800| ĐỒNG KHÓA :0
2023-10-28 17:34:26: [200117][<color=#0486dc>[GM]</color> VaiClin][23|3093|4105]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :15110600| ĐỒNG KHÓA :0
2023-10-28 17:40:42: [200103][<color=#0486dc>[GM]</color> 222222222222][5|5201|3414]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :2400| ĐỒNG  :4949600| ĐỒNG KHÓA :0
2023-10-28 17:54:49: [200119][<color=#0486dc>[GM]</color> aDfsdafs][255|1782|1898]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :14808600| ĐỒNG KHÓA :0
2023-10-28 18:00:03: [200103][<color=#0486dc>[GM]</color> 222222222222][255|2042|1787]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5002400| ĐỒNG  :9789200| ĐỒNG KHÓA :5000000
2023-10-28 18:05:28: [200106][<color=#0486dc>[GM]</color> 111111111111][255|1746|1932]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5100000| ĐỒNG  :9738200| ĐỒNG KHÓA :5000000
2023-10-28 18:11:22: [200103][<color=#0486dc>[GM]</color> 222222222222][255|1778|1909]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5002400| ĐỒNG  :9648200| ĐỒNG KHÓA :5000000
2023-10-28 18:20:46: [200119][<color=#0486dc>[GM]</color> aDfsdafs][255|1782|1898]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :14808600| ĐỒNG KHÓA :0
2023-10-28 18:45:23: [200114][<color=#0486dc>[GM]</color> dfkhiq212][255|1785|1901]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :14628600| ĐỒNG KHÓA :0
2023-10-28 18:49:17: [200106][<color=#0486dc>[GM]</color> 111111111111][255|1746|1932]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5100000| ĐỒNG  :9498200| ĐỒNG KHÓA :5000000
2023-10-28 18:56:03: [200119][<color=#0486dc>[GM]</color> aDfsdafs][255|1792|1915]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :14548600| ĐỒNG KHÓA :0
2023-10-28 19:07:32: [200097][<color=#0486dc>[GM]</color> ThieuLan][5|5283|3306]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :15018800| ĐỒNG KHÓA :200000
