2023-10-29 02:24:09: [200122][bbbbbbbb][6|2206|2512]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 02:30:38: [200122][bbbbbbbb][6|2206|2512]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 02:48:05: [200123][rreeeeee][5|5090|3270]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 04:38:42: [200125][HaoKiemMobi][23|3702|3960]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :9450240| ĐỒNG KHÓA :5000
2023-10-29 04:52:24: [200126][11111111111][5|5099|3391]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :9450240| ĐỒNG KHÓA :0
2023-10-29 04:55:01: [200126][11111111111][5|5069|3373]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :9450240| ĐỒNG KHÓA :0
2023-10-29 00:00:17: [200129][MrPhongSiiro][2|5554|4185]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :500| BẠC KHÓA :180728| ĐỒNG  :0| ĐỒNG KHÓA :130
2023-10-29 00:00:17: [203073][dfgaga3][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:00:17: [203072][dfgaga2][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:00:17: [203069][dfgaga4][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:00:17: [203071][dfgaga5][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:00:17: [203068][dfgaga][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:00:17: [203070][dfgaga1][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:01:05: [202425][6789bl][110|4300|1785]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :40699| ĐỒNG  :0| ĐỒNG KHÓA :43
2023-10-29 00:01:48: [203076][aedhadg][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:01:48: [203077][aedhadg3][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:01:48: [203075][aedhadg1][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:01:48: [203079][aedhadg2][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:01:48: [203080][aedhadg4][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:01:48: [203078][aedhadg5][8|6217|3532]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203055][hgfjfd1][5|5251|3454]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203054][hgfjfd14][5|5247|3447]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203059][hgfjfd16][5|5241|3446]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203058][hgfjfd12][5|5247|3450]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203056][hgfjfd1i][5|5251|3451]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203057][hgfjfd13][5|5241|3445]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203060][hgfjfd15][5|5248|3453]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203061][hgfjfd18][5|5252|3453]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203064][rtfdgdg][5|5245|3452]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203066][hfjgjhrdjg][5|5247|3453]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203062][dsfsggd][5|5234|3419]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:11: [203067][jhgjjjty][5|5231|3432]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:02:26: [200213][Quinn37][51|3033|1188]  HOẠT LỰC :7500 | TINH LỰC :7500| BẠC :200500| BẠC KHÓA :18271| ĐỒNG  :4975| ĐỒNG KHÓA :108
2023-10-29 00:02:41: [200043][QuanDoLa][107|5936|6120]  HOẠT LỰC :22500 | TINH LỰC :22500| BẠC :3750000| BẠC KHÓA :6024607| ĐỒNG  :750070| ĐỒNG KHÓA :1078000
2023-10-29 00:03:00: [202719][XxKiem][5|4910|3430]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :132466| ĐỒNG  :0| ĐỒNG KHÓA :2250
2023-10-29 00:03:19: [203082][sdhasa][8|6208|3510]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:19: [203083][sdhasa4][8|6208|3510]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:19: [203086][sdhasa3][8|6208|3510]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:19: [203081][sdhasa1][8|6208|3510]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:19: [203084][sdhasa5][8|6208|3510]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:19: [203085][sdhasa2][8|6208|3510]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:23: [203087][jhjhjtt8][5|5250|3414]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:23: [203092][jhjhjtt6][5|5246|3413]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:23: [203089][jhjhjtt7][5|5245|3411]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:23: [203090][jhjhjtt9][5|5254|3414]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:23: [203091][jhjhjtt][5|5242|3422]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:23: [203088][jhjhjtt1][5|5243|3423]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:23: [203096][jhjhjtt5][5|5254|3416]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:23: [203093][jhjhjtt2][5|5245|3411]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:23: [203095][jhjhjtt4][5|5248|3410]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:23: [203094][jhjhjtt3][5|5244|3410]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:03:36: [203047][yhgjuat][5|5274|3446]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:03:36: [203042][yhgjuar][5|5274|3446]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:03:36: [203045][yhgjuae][5|5675|3545]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:03:36: [203050][yhgjuav][5|5274|3446]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:03:36: [203046][yhgjuay][5|5090|3270]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:03:36: [203044][yhgjua][5|5274|3446]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
