2023-10-30 00:00:03: [203315][iiiBuff][108|13511|5170]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :83234| ĐỒNG  :0| ĐỒNG KHÓA :3400
2023-10-30 00:00:22: [201212][SayThuocLao][23|6500|3525]  HOẠT LỰC :7500 | TINH LỰC :7500| BẠC :151500| BẠC KHÓA :265094| ĐỒNG  :590| ĐỒNG KHÓA :14900
2023-10-30 00:00:56: [200001][<color=#0486dc>[GM]</color> AdminHaoKiem][5|4801|3456]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-30 00:01:11: [206688][jhg551d6][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:01:11: [206691][jhg551d][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:01:11: [206690][jhg551d22][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:01:11: [206689][jhg551d2][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:01:11: [206692][jhg551d55][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:01:11: [206693][jhg551d5][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:01:12: [206683][jhg551d3][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:01:12: [206694][gd54g112][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:01:12: [206685][jhg551d11][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:01:12: [206684][jhg551d4][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:01:12: [206686][jhg551d1][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:01:12: [206687][jhg551d33][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:11:11: [200041][Junner][8|5577|3740]  HOẠT LỰC :4775 | TINH LỰC :4775| BẠC :415750| BẠC KHÓA :1266306| ĐỒNG  :68940| ĐỒNG KHÓA :105355
2023-10-30 00:11:19: [201224][thienhoanhan][106|9141|7639]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :1494| BẠC KHÓA :264762| ĐỒNG  :0| ĐỒNG KHÓA :5900
2023-10-30 00:11:21: [203148][TLThanhLong][343|891|806]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :218066| ĐỒNG  :0| ĐỒNG KHÓA :785
2023-10-30 00:19:51: [206583][ZzcaloczZ][343|1281|1139]  HOẠT LỰC :7500 | TINH LỰC :7500| BẠC :500| BẠC KHÓA :708448| ĐỒNG  :0| ĐỒNG KHÓA :7000
2023-10-30 00:25:58: [206200][vipquas][343|1059|1065]  HOẠT LỰC :6340 | TINH LỰC :6340| BẠC :13400| BẠC KHÓA :744880| ĐỒNG  :0| ĐỒNG KHÓA :1172
2023-10-30 00:29:29: [206704][csc3ss11][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:29:29: [206695][csc3ss2][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:29:29: [206696][csc3ss6][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:29:29: [206697][csc3ss22][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:29:29: [206699][csc3ss5][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:29:29: [206702][csc3ss][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:29:29: [206700][csc3ss44][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:29:29: [206701][csc3ss3][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:29:29: [206698][csc3ss55][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:29:29: [206703][csc3ss4][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:29:29: [206706][csc3ss33][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:29:29: [206705][csc3ss1][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:30:28: [204446][BachCongTu][111|6480|1443]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :250970| ĐỒNG  :0| ĐỒNG KHÓA :3800
2023-10-30 00:30:28: [202498][LionelM10][111|6428|1371]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :160420| ĐỒNG  :0| ĐỒNG KHÓA :3425
2023-10-30 00:34:15: [206710][jhjj11d12][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:34:15: [206715][jhjj11d13][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:34:15: [206712][jhjj11d1][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:34:15: [206709][jhjj11d16][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:34:15: [206711][jhjj11d122][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:34:15: [206707][jhjj11d111][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:34:15: [206713][jhjj11d155][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:34:15: [206714][jhjj11d15][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:34:15: [206718][jhjj11d14][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:34:15: [206716][jhjj11d144][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:34:15: [206717][jhjj11d11][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:34:15: [206708][jhjj11d133][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:24: [203743][VuiVe30][23|5790|5631]  HOẠT LỰC :22500 | TINH LỰC :22500| BẠC :0| BẠC KHÓA :51253| ĐỒNG  :0| ĐỒNG KHÓA :110
2023-10-30 00:38:46: [206719][gdfgdfv12][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:46: [206724][gdfgdfv13][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:46: [206721][gdfgdfv1][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:46: [206722][gdfgdfv155][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:46: [206720][gdfgdfv122][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:46: [206726][gdfgdfv111][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:46: [206728][gdfgdfv14][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:46: [206723][gdfgdfv15][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:46: [206727][gdfgdfv11][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:46: [206725][gdfgdfv144][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:46: [206729][gdfgdfv133][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:38:46: [206730][gdfgdfv16][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:39:35: [200395][HanBaoQuanl][341|1869|817]  HOẠT LỰC :6230 | TINH LỰC :5730| BẠC :58800| BẠC KHÓA :243101| ĐỒNG  :300| ĐỒNG KHÓA :2405
2023-10-30 00:40:31: [201710][concarrr][23|6488|3633]  HOẠT LỰC :3170 | TINH LỰC :3170| BẠC :31700| BẠC KHÓA :541658| ĐỒNG  :0| ĐỒNG KHÓA :500
2023-10-30 00:42:19: [206733][aax321112][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 00:42:19: [206731][aax321113][8|6200|3520]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
