2023-10-30 00:23:02: Script ID = 156, Function = OnSelection took 102ms to be processed
2023-10-30 00:37:27: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:37:27: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:37:28: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:37:29: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:37:30: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:39:18: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:39:19: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:39:19: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:39:20: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:39:22: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:41:31: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:41:32: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:41:32: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:41:33: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:41:34: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:35: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:35: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:35: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:35: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:35: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:36: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:36: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:36: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:36: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:36: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:37: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:37: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:37: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:37: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:37: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:38: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:38: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:38: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:38: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 00:58:38: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:06: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:06: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:06: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:06: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:06: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:07: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:07: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:07: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:07: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:07: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:08: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:08: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:08: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:08: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:08: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:09: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:09: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:09: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:09: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:00:09: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:06: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:07: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:51: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:51: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:51: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:51: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:51: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:52: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:52: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:52: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:52: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:52: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:53: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:53: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:53: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 01:01:53: [ERROR] Lua Script not found, ID = '-1'
