2023-10-29 01:08:04: [TRADE] server=1 source=1963_0768593121 srcPlayer=200811 target=10406_nam100n85 dstPlayer=203742 in= out=403:6 map=5 sviplevel=0 tviplevel=0 sexp=103.186.154.32 texp=103.138.109.217 friendDegree=0
2023-10-29 01:08:20: [TRADE] server=1 source=10420_hai241829 srcPlayer=203744 target=10406_nam100n85 dstPlayer=203742 in=403:3 out= map=5 sviplevel=0 tviplevel=0 sexp=103.99.1.86 texp=103.138.109.217 friendDegree=0
2023-10-29 01:10:27: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10403_nam100n80 dstPlayer=203705 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:10:51: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10405_nam100n81 dstPlayer=203700 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:11:11: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10408_nam100n82 dstPlayer=203707 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:11:34: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10407_nam100n83 dstPlayer=203709 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:11:54: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10402_nam100n89 dstPlayer=203702 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:12:11: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10404_nam100n88 dstPlayer=203706 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:12:28: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10401_nam100n87 dstPlayer=203701 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:12:41: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10400_nam100n86 dstPlayer=203703 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:14:51: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10403_nam100n80 dstPlayer=203705 in=10127:2 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
